text_id	en	format
	For cards and tactical character screen	
arteryshot_name	ARTERY SHOT	
arteryshot_tooltip	ARTERY SHOT	
arteryshot_desc	If hit, target enemy will suffer greatly after walking five steps.	
arteryshot_desc_targeting	Hit an enemy. If they walk five steps during their next turn, they will receive 8 damage.	
cannibal_name	CANNIBAL	
cannibal_tooltip	CANNIBAL<br>only over a corpse	
cannibal_desc	Eat human flesh to gain strength and restore health.	
cannibal_desc_targeting	Stand on a tile with a dead character.<br>Eat to restore [%0] HP and improve Stats.	
courage_name	COURAGE	
courage_tooltip	COURAGE	
courage_desc	Bolster your parameters when surrounded by enemies.	
courage_desc_targeting	The more enemies in sight on activation, the better bonuses you will receive.	
crippler_name	CRIPPLER	
crippler_tooltip		
crippler_desc	Every hit you score cripples the target.	
crippler_desc_targeting		
demon_name	UNHOLY POWER	
demon_tooltip	UNHOLY POWER	
demon_desc	Gain demonic strength.	
demon_desc_targeting	Confirm to gain demonic strength.	
disguise_name	DISGUISE	
disguise_tooltip		
disguise_desc	You are ignored by enemies in setup stage.	
disguise_desc_targeting		
dodge_name	DODGE	
dodge_tooltip	DODGE	
dodge_desc	If there's a chance to dodge the bullet, you will.	
dodge_desc_targeting	Dodge all shots fired with less than 100% Chance to Hit. Lasts 2 turns.	
equalization_name	EQUALIZATION	
equalization_tooltip	EQUALIZATION	
equalization_desc	Reduce every character's HP to 1.	
equalization_desc_targeting	Reduce everyone’s HP to 1.	
finder_name	SCAVENGER	
finder_tooltip	SCAVENGER<br>only over a corpse	
finder_desc	You somehow find the best guns in the world on dead enemies. But then you tend to lose them.	
finder_desc_targeting	Stand on a tile with a dead character. Use to find a rare weapon. You will lose it at the end of combat.	
hearing_name	BEAST HEARING	
hearing_tooltip		
hearing_desc	Sense nearby enemies.	
hearing_desc_targeting		
intimidate_name	TERROR	
intimidate_tooltip		
intimidate_desc	Nearby enemies panic.	
intimidate_desc_targeting		
jinx_name	JINX	
jinx_tooltip		
jinx_desc	Your shots don't replenish enemy luck, plus nearby enemies lose luck all the time.	
jinx_desc_targeting		
multishot_name	BARRAGE	
multishot_tooltip	BARRAGE	
multishot_desc	Shoot at all enemies in sight in sequence.	
multishot_desc_targeting	Fires a shot at every enemy in sight, up to 6 times.	
penetrate_name	GOLDEN BULLET	
penetrate_tooltip	GOLDEN BULLET	
