text_id	en	format
	special	
critical_buff	Essential	
critical_buff_desc	This person has a larger role to play in the unfolding events. Make sure they don't die.	
	scenario buffs	
aim_boost	Firmness	
aim_boost_desc	No more shaky hands.	
all_seeing_eye	Sight Cured	
all_seeing_eye_desc	Nothing escapes your gaze.	
bear_endurance	Bear Spirit	
bear_endurance_desc	The animal spirit is always nearby.	
blood_berry_buff	Rage	
blood_berry_buff_desc	Like a beast!	
broken_leg	Open Fracture	
broken_leg_desc	A bone is protruding from the wound.	
burned_hand	Burned Hand	
burned_hand_desc	Hand burns make gunslinging difficult.	
cassandra_defense	Danger Sense	
cassandra_defense_desc	Precogs can predict enemy attacks.	
couragedrink	Bravado	
couragedrink_desc	Given enough booze, courage turns to bravado.	
couragedrink2	Recklessness	
couragedrink2_desc	Given enough quality booze, bravado turns to recklessness.	
damned	Damnation	
damned_desc	Damned by the devil himself.	
dmg_boost	Keen Eye	
dmg_boost_desc	Deadly accuracy	
drank_poison	Poison	
drank_poison_desc	Poison inflames the innards.	
full	Repleteness	
full_desc	Everything is better with a full stomach.	
gunshot_hole	Gunshot Wound	
gunshot_hole_desc	An untreated wound prevents full recovery.	
hungry	Hunger	
hungry_desc	An empty belly makes one weak.	
intoxicated	Inebriation	
intoxicated_desc	In vino veritas.	
irradiation	Curserock Sickness	
irradiation_desc	Nausea and enfeeblement.	
knife_damage	Knife Wound	
knife_damage_desc	Blunt knives leave evil wounds	
madness_1	Vertigo	
madness_1_desc	It is hard to focus.	
madness_2	Psychosis	
madness_2_desc	The unspeakable lurks in the shadows.	
madness_3	Delusions	
madness_3_desc	The gaze becomes hostile and terrifying.	
madness_4	Schizophrenia	
madness_4_desc	Frightening enemies lurk in the shadows.	
madness_5	Split Personality	
madness_5_desc	All thoughts are confusing.	
maxhp_boost	Endurance	
maxhp_boost_desc	Tough as nails.	
maxluck_boost	Good Fortune	
maxluck_boost_desc	Lucky as a four-leaf clover.	
mov_boost	Swiftness	
mov_boost_desc	Fast as the wind.	
numb_leg	Numb Leg	
numb_leg_desc	Urchin stings cause lasting numbness.	
revolted	Disgust	
revolted_desc	Disgusting experiences result in enfeeblement.	
snake_bite	Snake Bite	
snake_bite_desc	Taints the blood with venom.	
starving	Starvation	
starving_desc	Both body and mind beg for nutrition.	
syphilis	Syphilis	
syphilis_desc	One kinky adventure too many.	
throbbing_cough	Rattling Cough	
throbbing_cough_desc	Lungs may be collapsing.	
voodoo_curse	Voodoo Curse	
voodoo_curse_desc	Bad luck hangs heavy on the soul.	
inspired	Inspiration	
inspired_desc	A general state of well-being granted by an inspiring event.	
s7_story_luck	Amulet Power	
s7_story_luck_desc	The amulet bought from a shady character grants you good luck.	
s7_story_curse	Amulet Curse	
s7_story_curse_desc	The curse of the shattered amulet hangs heavily on your family.	
mercury	Mercury Treatment	
mercury_desc	The effects of syphilis are staved off for a while.	
poison	Venom	
poison_desc	Toxic secretions cause extensive damage to human tissue.	
endfight_bonus_gunslinger_medium	Power of Experience	
endfight_bonus_gunslinger_hard	Power of Experience	
endfight_bonus_skirmisher_medium	Power of Experience	
endfight_bonus_skirmisher_hard	Power of Experience	
endfight_bonus_sniper_medium	Power of Experience	
endfight_bonus_sniper_hard	Power of Experience	
endfight_bonus_brawler_medium	Power of Experience	
