text_id	en	format
	Scenario 1 Characters	
undead	Warren	
undead_desc	Maimed, mutilated and shot to death, you have risen from the grave to avenge your beloved Florence. Your newfound sense of purpose makes you tougher, angrier and more determined than ever.	
hired_gun1	Scrawny Kid	
hired_gun1_desc	With his meek physiognomy and scrawny physique, the Kid looked like the offspring of a man and a starving cow. What he lacked in strength and endurance he made up for in wickedness and cruelty.	
hired_gun2	Old Man Murray	
hired_gun2_desc	Old Man Murray worked for the Masked Man until he got caught skimming money. To make an example of him, the Masked Man destroyed Murray's gin business and delivered him to hungry cannibals. Grateful for his rescue, Murray pledged Warren his undying loyalty.	
s1_oldjudge_pc	Brandon Scott	
s1_oldjudge_pc_desc	Brandon was the scourge of the countryside and a harbinger of endless suffering. A destroyer of dreams and devourer of fortunes, he was the local tax collector.	
childeater_gdcdemo	Childeater	
childeater_gdcdemo_desc	Childeater was the kind of person who didn't tell. And you would do well not to ask.	
devil	Devil	
card_player_gun	Townsman	
farmer_gun	Cannibal Gunslinger	
farmer_rifle	Cannibal Longshot	
farmer_shotgun	Cannibal Sprayer	
farmer_sniper	Cannibal Huntress	
demon_gdcdemo	Demon	
manager_gdcdemo	Manager Egil Töllner	
pinkerton_gun	Bank Guard	
pinkerton_rifle	Bank Guard	
pinkerton_shotgun	Bank Guard	
pinkerton_sniper	Bank Guard	
demongang_gun	Gangster	
demongang_rifle	Gangster	
demongang_shotgun	Gangster	
demongang_sniper	Gangster	
retired_demon	Retired Demon	
sheriff	Murderous Sheriff	
oilrig_pistol	Worker	
oilrig_shotgun	Worker	
oilrig_sniper	Worker	
oilrig_guard_pistol	Guard	
oilrig_guard_shotgun	Guard	
oilrig_guard_rifle	Guard	
oilrig_boss_stage1	Masked Man	
oilrig_boss_stage2	The Man with the Broken Mask	
s1_intro_gun	Hired Gun	
s1_intro_shotgun	Hired Gun	
s1_intro_rifle	Hired Gun	
s1_bankguard_gun	Bank Guard	
s1_bankguard_rifle	Bank Guard	
s1_bankguard_shotgun	Bank Guard	
s1_bankguard_sniper	Bank Guard	
	Scenario 2 Characters	
s2_cassandra	Cassandra	
s2_cassandra_desc	Cervantes knew almost nothing about this woman, but she appeared trustworthy. Still, he kept his eye on her.	
s2_inquisitor	Gabriel de Cervantes	
s2_inquisitor_desc	A Grand Inquisitor in the service of the Devil, his charisma was matched only by his lack of compassion. Dead bodies and broken dreams followed wherever he went.	
s2_el_federale	Joaquim Perez	
s2_el_federale_desc	A god-fearing lawman turned vigilante, Perez had recently killed a member of the Order for personal reasons when he met Cervantes. He had been little more than a mindless puppet since.	
s2_nun	Rosario Aiza	
s2_nun_desc	Sister Aiza had devoted her life to worshipping the Lord and felt no punishment was too strong for those who tarnished His name. The Inquisitor found her useful, but knew to keep his true motives hidden.	
s2_devil_worshipper	Bathym Raum	
