text_id	en	format
	scenario 1	
s1_strl_farm	Cannibal Farm	
s1_strl_hospital	Hospital	
s1_strl_ghost_town	Hope	
s1_strl_grave01	Abandoned Grave	
s1_strl_grave02	Mossy Grave	
s1_strl_grave03	Cracked Grave	
s1_strl_grave04	Lonely Grave	
s1_strl_grave05	Poor Grave	
s1_strl_grave06	Grimy Grave	
s1_strl_grave07	Mucky Grave	
s1_strl_grave_pinkertons	Pinkerton Grave	
s1_strl_gunsmith_shop	Gunsmith Shoppe	
s1_strl_hanged_slave	Hanged Slave	
s1_strl_hermit_hut	Hermit's Hut	
s1_strl_indian_tent	Indian Camp	
s1_strl_indian_totem	Indian Totem	
s1_strl_miners_house	Excavation Site	
s1_strl_hidden_manor	Hidden Manor	
s1_strl_big_tree	Big Tree	
s1_strl_elixir_trader	Elixir Trader	
s1_strl_judge_homestead	Homestead	
s1_strl_grasskand_pasture	Pastures	
s1_strl_water_tower	Water Tower	
s1_strl_town	Aspirton	
s1_strl_outlaw_joint	Kraimer's Inn	
s1_strl_x_spot	X Mark	
s1_strl_old_sawmill	Old Sawmill	
s1_strl_gin_mill	Gin Mill	
s1_strl_poaching_grounds	Poaching Grounds	
s1_strl_demons_hideout	Demon's Hideout	
	scenario 2	
s2_strl_town	Cooperton	
s2_strl_gunsmith	Gunsmith	
s2_strl_opium_den	Opium Den	
s2_strl_church	Church	
s2_strl_cave	Cave	
s2_strl_chinese_trader	Chinese Trader	
s2_strl_judge_manor	Sanctuary	
s2_strl_river_town	Wretchport	
s2_strl_harbor	Harbor	
s2_strl_trappers_cabin	Trapper Camp	
s2_strl_indian_village	Indian Village	
s2_strl_indian_scout	Indian Tent	
s2_strl_shaman	Shaman Hut	
s2_strl_trappers_camp	Trappers	
s2_strl_trade_outpost	Trading Post	
s2_strl_mine	Devil Banner's Mine	
s2_strl_Solomons_hideout	Hideout	
s2_strl_elixir_trader	Gypsies	
s2_strl_burial_grounds	Burial Grounds	
s2_strl_altar	Altar	
s2_strl_outlaw_joint	Outlaw Joint	
s2_strl_farm	Farm	
s2_strl_doctor	Doctor	
s2_strl_brothel	Brothel	
s2_strl_distillery	Distillery	
s2_strl_abandoned_mine	Abandoned Mine	
s2_strl_fort	Fort	
	scenario 3	
s3_strl_town1	Town	
s3_strl_distillery	Distillery	
s3_strl_plantation	Plantation	
s3_strl_opiumshop	Opium Den	
s3_strl_caravan	Caravan	
s3_strl_sawmill	Sawmill	
s3_strl_hideout	Swamp Hideout	
s3_strl_ghosttown	Ghost Town	
s3_strl_post	Decaying Post	
s3_strl_guns	Gunsmith	
s3_strl_hermit	Hermit's Hut	
s3_strl_station3	Railroad Station	
s3_strl_gambden	Gambling Den	
s3_strl_crossroads	Crossroads	
s3_strl_safeinwood	Safe Location	
s3_strl_bridge	Bridge	
s3_strl_fanatics	Hideout	
s3_strl_coyote	Red Coyote's	
s3_strl_seamstress	Seamstress' Hut	
s3_strl_mountain25	Mountains	
s3_strl_mountain26	Mountains	
s3_strl_mountain27	Mountains	
s3_strl_leftwagon	Abandoned Wagon	
	scenario 4	
s4_strl_armycamp	Army Camp	
s4_strl_massacresite	Massacre Site	
s4_strl_indianvillage	Sacred Grounds	
s4_strl_wizard	The Wizard	
