text_id	en	format
	Global	
scen_06	In Gold We Trust	
scen_06_name	Alvaro Vasquez went on an adventure that had consequences no one could have forseen.	
6_1_FarmCamp_name	Having evaded capture it was up to Alvaro Vasquez to save his companions.	
6_2_LandingSite_name	Vasquez needed to hold Lafórtuna's men at bay until the rafts were loaded.	
6_3_BanditsFort_name	The men snuck toward the fort and prepared for their strike.	
6_4_NightmareRuins_name	Diego would pay for his treachery in blood.	
6_5_NightmareEldoradoGates_name	As they walked up the incredibly long stairs, Vasquez wondered what reward awaited him.	
	Objectives	
	Counters	
s6_bracket_left	(	
s6_of_tools_delivered	of 5 delivered)	
s6_of_wood_delivered	of 40 delivered)	
	Objectives Tactical 1	
s6_t1_freeposse	Open the door to Diego's cell to free him	
s6_t1_freetutor	Kill or subdue the guard to free Zacarías	
s6_t1_ free_inquisitor	Kill or subdue Cervantes's guards	
s6_t1_getbetterweapons	Procure better weapons (Optional)	
s6_t1_clearcamp	Clear the camp of bandits	
	Strategic objectives before crossing river	
s6_getsupplies	Acquire provisions	
s6_getmanpower	Hire manpower	
s6_camp_briefing	Assemble at the camp	
s6_crossing	Use scouts to find a way to cross the river	
s6_get_wood	Obtain 40 pieces of wood (	
s6_get_wood_p2	of 40 collected)	
s6_cross_river	Cross the river	
s6_send_cervantes	Send the Inquisitor to safety	
s6_heal_cervantes	Tend to the Inqusitor's wounds	
	Objectives Tactical 2	
s6_t2_holdoff	Hold off bandits until basic provisions are loaded	
s6_t2_holdoff_bonus	Hold off bandits until additional provisions are loaded	
s6_t2_supplies	Heal yourself using medical supplies	
s6_t2_flee	Escape	
	Strategic objectives after crossing river	
s6_findvalleypass	Send scouts from your camp to find a passage through the valley	
s6_inspect_outpost	Inspect the outpost	
s6_take_outpost	Take the outpost by force	
s6_attackbanditcamp	Take the fort to the North	
s6_deploy_west	Deploy peons at the Western mountain pass	
s6_deploy_east	Deploy peons at the Eastern mountain pass	
	Objectives Tactical 3	
s6_t3_kill_all	Defeat all the natives	
s6_t3_kill_guards_quickly	Dispose of the guards before reinforcements arrive	
s6_t3_reinforcements_west	Time until reinforcements arrive from the West:	
s6_t3_reinforcements_east	Time until reinforcements arrive from the East:	
s6_t3_turns	turns	
	Strategic objectives in olmec turf	
s6_assemble_at_mission	Set up camp at the mission ruins	
s6_excavate	Finish the excavation	
s6_exterminate	Slaughter the natives in the barrows	
s6_chapel	Inspect the chapel revealed to the East	
s6_return_to_mission	Punish the traitor	
	Objectives Tactical 4	
s6_t4_freeman	Reach O'Connell before he bleeds out	
s6_t4_findfriend	Find Diego	
s6_t4_killfriend	Kill Diego	
s6_t4_killrebels	Finish off the marauders	
s6_t4_killattackers	Kill the attackers	
	Strategic objectives in final valley	
s6_pursue_peons	Pursue the cowards	
s6_cross_passage	Cross the blocked passage	
s6_clues	Gain information about reaching the temple	
s6_tzompantli	Solve the riddle of the tzompantli	
s6_enter_temple	Enter the temple	
	Objectives Tactical 5	
s6_t5_killtutor	Kill Zacarías	
s6_t5_entereldorado	Vasquez must enter the City	
s6_checkchapel	Inspect the chapel	
s6_getthroughmountains	Clear the mountain passage to get through	
	Exploration prompts	
	Frequent location texts and elements	
s6_provisions	Provisions	
s6_noresources	None	
s6_peons	Peons	
s6_peonslost	were lost	
s6_peonsinjured	were injured	
s6_peonssick	were sick	
s6_injured	injured	
s6_hunt_desc	Vasquez decided that there was need for provisions	
s6_heal_desc	Vasquez checked everyone for injuries	
s6_noman	Not enough manpower	
s6_noman_desc	It seemed Vasquez didn't have enough Peons at his disposal.	
s6_noprovisions	Not enough provisions	
s6_noprovisions_desc	With insufficient provisions, Vasquez risked exhausting the Peons.	
s6_sick	Sick Peons	
s6_sick_desc	During work	
s6_sick_desc2	The Peons were sick from exhaustion	
s6_hunt_success	The hunt was a success and the men returned with food.	
s6_hunt_fail	The hunt ended in a failure and the men returned empty-handed.	
s6_scout_fail	The men failed to discover anything useful.	
s6_insufficient_provisions	The expedition lacked the provisions required for such an action. Vasquez could force the peons to proceed anyway but it would increase the risk.	
s6_healing_title	Lazaret	
s6_healing_desc_posse	Some members of the posse had suffered major injuries which required treatment.	
s6_healing_desc_posse_all_good	None of the posse had any major ailments.	
s6_healing_desc_peons	Sick or injured peons at the camp were not able to perform any tasks unless given medical treatment and extra rations. [%0] of the camp was currently sick or injured.	
s6_healing_all_good	All the peons were in good health and did not require any medical attention.	
s6_peons_injured	peons suffered a major injury or illness.	
s6_peons_died	peons died or abandoned the expedition.	
s6_hero_injured	suffered a major injury.	
s6_enough_cash	Zacarías recommended focusing on other tasks now. The expedition's gold reserves were large enough.	
s6_enough_food	Zacarías said acquiring more food was a waste of time. There was more food at the camp than they could  consume before it spoiled.	
s6_enough_peons	Zacarías recommended not hiring any more peons for now. The camp could barely sustain the current number.	
	Locations before crossing river	
s6_fatetrader_first_title	Fate Trader	
s6_fatetrader_first_desc	Far from civilization they stumbled on an odd but inviting stand manned by an ancient, toothless dwarf. He invited them to peruse his eclectic assortment of wares.	
s6_fatetrader_first_desc_alcohol	The dwarf's gnarled hands revealed several bottles of whiskey, which he handed to Vasquez. He refused all payment for them, insisting that "fate has to take its course. Though we do get our share of freedom." The men were confused but accepted graciously.	
s6_village_title	Border Village	
s6_village_desc	This small village was plagued by poverty. Its desperate inhabitants welcomed any opportunity to earn a little cash.	
s6_village_desc_hire_first_peons	The poverty-stricken village seemed like a good place to acquire manpower. 50 men expressed willingness to join the expedition and serve as Vasquez's peons. They asked for $500 in return. It was a princely sum, but they knew the expedition did not have a choice.	
s6_village_desc_peons_leader_intro_p1	After the transaction, a man who had been watching from afar approached the posse and offered his gun and his leadership. Said his name was David O'Connell and that he knew the locals well.	
s6_village_desc_peons_leader_intro_p2	He replied that adventure was its own reward, but that he wouldn't say no to a piece of whatever wealth the expedition turned up. When Vasquez asked how he could be sure O'Connell wasn't one of Lafortuna's hired guns, the stranger replied, "They'll vouch for me," pointing to several of Lafortuna's men hanging from a tree.	
s6_village_desc_peons_leader_intro_p3	Zacarías thought it was risky. Diego just shrugged and said they were doomed either way. Vasquez agreed to let O'Connell join, not hiding his enthusiasm. O'Connell assured them they would be glad of his company.	
s6_village_desc_hire_extra_peons	There were ten more men willing to join Vasquez for an additional $100.	
s6_village_desc_extra_peons_hired	They accepted the money and joined Vasquez' quest.	
s6_farmhouse_title	Local farmhouse	
s6_farmhouse_desc	In the wilderness they found a run-down but still operational farm. When they approached, the farmers leveled guns at the group, but Diego found the right words to allay their fears. Still, the farmers were anything but hospitable.	
s6_farmhouse_desc_buy_first_provisions	The owner's son made a single offer and did not tolerate any attempts to haggle. $300 for a pile of food he specified by pointing his gun at it.	
