text_id	en	format
	shop names	
shop_generic	Shop	
fatetrader_name	Fate Trader	
whiskey_distillery_name	Distillery	
tobacco_plantation_name	Tobacco Plantation	
opium_smoking_room_name	Opium Den	
caravan_name	Caravan	
town_market_name	Town Market	
sawmill_name	Sawmill	
gunsmith_name	Gunsmith	
bank_name	Protection Shop	
tobacco_plant_start_name	Tobacco Plantation	
caravan_start_name	Town Market	
s3_trading_helped_name	Trading Post	
s3_encountershop_name	Wandering Shop	
s1_indiantent_name	Indian Camp	
s1_gunsmith_name	Gunsmith	
s1_elixirtrader_name	Elixir Trader	
s1_outlawjoint_name	Old Kraimer's Inn	
s2_gunsmith_name	Christensen's Gunshop	
s2_rivershop_name	Wretchport Market	
s2_trappers_name	Trappers	
s2_chinese_trader_name	Chinese Trader	
s2_gypsies_name	Gypsies	
s2_smugglers_name	Smugglers	
s2_indianvillage_name	Indians	
s2_gunsmith_slaughter_name	Christensen's Gunshop	
s2_chinese_trader_slaughter_name	Chinese Trader	
s2_gypsies_slaughter_name	Gypsies	
shop_1_name	Classic Shop	
shop_2_name	Small Shop	
s4_shop_medic_name	Dr Mason Von Warner	
s4_shop_vaquero_name	The Vaquero Exchange	
s4_shop_brothelbar_name	Bai-Bai Liquor House	
s4_shop_orchidhouse_name	Orchid House	
s5_workshop_name	Pony Express	
s5_gunsmith_name	Death's Embrace	
s5_indian_village_name	Indian Village	
s5_pharmacy_name	Pharmacy	
s5_watchmaker_name	Watchmaker	
s5_trading_post_name	Trading Post	
s5_ruined_mansion_name	Old Man	
s6_toolshop_name	Hunting Shop	
s6_gunsmith_name	Gunsmith	
s7_tradingpost_name	Trading Post	
s7_shadyjoint_name	Shady Joint	
s7_furtrader_name	Fur Trader	
s7_town_name	Ross' Gunshop	
s7_fortuneteller_name	Fortune Teller's Wares	
s8_general_store_name	Adelante General Store	
s8_sonora_innkeeper_name	Innkeeper's Stash	
s8_macho_collection_name	Rossetti Collection	
