text_id	en	format
	Titles and loading screens	
scen_09	Scars of Freedom	
scen_09_name	Though most people didn't know what it was or what it did,<br>Ether turned the wheels of that region. And whether they knew it or not, everybody wanted it.	
9_1_Quarry_name	Stringfellow Quarry, Texas.<br>The Civil War	
9_2_Cemetery_name	It was a rude awakening, if I'd ever had one.	
9_3_Ironlines_name	The Masked Doctors transported their dirty resources on the 9:09	
9_4_GreenerPastures_name	It was time to put them Masked Doctors to the question.	
9_5_CemeteryEscape_name	My greatest achievement was interrupted most viciously.	
9_6_Harbor_name	Duval would hardly miss those supplies. And I needed them for the greater cause.	
9_7_QuarryShowdown_name	Thus, have we come full circle.	
	Custom UI text	
gui_dlc1_tooltip_no_hand	Arrange body parts by compatibility rating or complete golem recipes to get additional bonuses.	
gui_dlc1_tooltip_decayimmunity	This person is not a golem, so they do not suffer from Decay.	
gui_dlc1_tooltip_cannothands	This person is not a golem and cannot use foreign body parts.	
	Floating text	
s9_t2_doorlocked	Locked	
s9_t2_fullhp	Already at full health	
s9_t5_notinposition	Dr Gorman is not in position	
	Mission failed reasons	
s9_t1_fail_morbidkilled	You killed Doctor Gorman. Interrogating him may prove difficult.	
	Strategic event popups	
s9_eventpopup_phineasdecay	Phineas is suffering from decay. Treat him at the Morgue in exchange for Ether.	
s9_eventpopup_etherfromtac	^Ether recovered from fallen enemies: [%0]	
s9_eventpopup_medishow_markup	Prices in all shops have increased by 10%	
s9_eventpopup_morgue_markup	Prices in the morgue have increased by 15 percentage points	
s9_eventpopup_newcard	New body part(s) available in the Morgue: [%0]	
	Objective text	
s9_t1_kill_henchmen	Kill all henchmen	
s9_t1_dont_kill_morbid	Do not kill Dr Gorman	
s9_t1_kill_storage_enemies	Fight your way out of the quarry	
s9_t1_open_gate	Open the quarry gate	
s9_t1_free_slave	Free Paddy Somerset (Optional)	
s9_t1_get_equipment	Search the stashes for hidden weapons (Optional)	
s9_t1_escape	Get Libertee to freedom via the slide chute	
s9_str1_gotomorgue	Go to the Morgue and purchase a body part	
s9_str1_partsforlibertee	Purchase at least one more body part	
s9_str1_gotolab	Return to the Laboratory and perform the surgery on Libertee	
s9_str1_curephineas	Cure Phineas' decay at the Morgue (Optional)	
s9_str1_visitharpers	Pay a visit to Mrs. Harper (Optional)	
s9_str1_mineaccident	Attend to the mining accident (Optional)	
