text_id	en	format
	Names of characters performing voiced narration	
speaker_libertee	Libertee	
speaker_morbid	Dr Gorman	
	Shop names	
s9_shop_morgue_name	The Morgue	
s9_shop_gunsmith_name	Maple Falls Gunshop	
s9_shop_gunsmith2_name	Maple Falls Gunshop	
s9_shop_outlawden_name	Outlaw Den	
s9_shop_congregation_name	Herbalist's	
s9_shop_congregation2_name	Herbalist's	
s9_shop_nikosgoods_name	Niko's General Goods	
	Character names and descriptions	
s9_morbid	Dr Aldous Gorman	
s9_morbid_desc	Doctor Gorman is an expert in medicine, human anatomy and the revolutionary new field of transplantology. A pioneer, his research attracts disgust, fear and envy, but his work is meticulously researched using the latest methods.	
s9_libertee	Libertee	
s9_libertee_desc	Born a slave, Libertee was given a name that fit the hopes and wishes of her parents. As a young woman, she is determined to live up to the appellation.	
s9_libertee_monster	Libertee	
s9_libertee_monster_desc	After her monstrous transformation, Libertee might look like a corpse, but her new grafts make her tougher, faster and more dangerous than most.	
s9_phineas	Phineas	
s9_phineas_desc	Dr Gorman's mute manservant, Phineas has served as a test subject for many of his master's experimental treatments. This has not been without impact on Phineas' looks, sympathies or psyche. Reticent to say the least, no one knows his true feelings about his employer.	
s9_phineas_copy	Phineas	
s9_phineas_copy_desc	Dr Gorman's mute manservant, Phineas has served as a test subject for many of his master's experimental treatments. This has not been without impact on Phineas' looks, sympathies or psyche. Reticent to say the least, no one knows his true feelings about his employer.	
s9_theodor	Theodor	
s9_theodor_desc	In his younger days, Theodor was a successful traveling salesman. When he got too old (and too recognized for his snake oil), his family placed him in a home for the destitute. Now he is on the loose again, however.	
s9_theodor_alt	Theodor	
s9_theodor_alt_desc	In his younger days, Theodor was a successful traveling salesman. When he got too old (and too recognized for his snake oil), his family placed him in a home for the destitute. Now he is on the loose again, however.	
s9_louise	Louise	
s9_louise_desc	One would have a hard time finding a meaner woman than Louise. After nagging three husbands into early graves, her viciousness was a legend in the Lonestar state.	
s9_louise_alt	Louise	
s9_louise_alt_desc	One would have a hard time finding a meaner woman than Louise. After nagging three husbands into early graves, her viciousness was a legend in the Lonestar state.	
s9_madjoe	Gunther	
s9_madjoe_desc	After losing his entire platoon in the Mexican-American war, Gunther lost the will to live. A shell-shocked old man, every day he prays to death to deliver him to his comrades.	
s9_madjoe_alt	Gunther	
s9_madjoe_alt_desc	After losing his entire platoon in the Mexican-American war, Gunther lost the will to live. A shell-shocked old man, every day he prays to death to deliver him to his comrades.	
s9_luke	Luke the Evangelist	
s9_luke_desc	Luke is a former member of the infamous Evangelist gang, made up of four brothers bearing the names Matthew, Mark, Luke and John.	
s9_john	John the Evangelist	
s9_john_desc	The youngest of the four Evangelist brothers, John is partly responsible for the gang's demise. Now reconciled with his only surviving brother, John is trying to make amends.	
s9_slave1_pc	Fred Glass	
s9_slave1_pc_desc	Fred Glass was one of the few men working in Stringfellow Quarry who hadn't lost his will to live free. Now he has a chance to make his dream come true.	
s9_slave2_pc	Paddy Somerset	
s9_slave2_pc_desc	Paddy was a valet to one Inquisitor Cervantes. But one day his master grew displeased with him and sold him to the quarry. Somerset admits he prefers the deadly exhaustion of the quarry to the company of his old master, but refuses to say why.	
s9_intro_libertee	Libertee	
s9_intro_phineas	Phineas	
s9_intro_morbid	Dr Aldous Gorman	
s9_intro_theodor	Theodor	
s9_intro_louise	Louise	
s9_intro_gunther	Gunther	
s9_t1_slaver	Slaver	
s9_t1_slaver_female	Slaver	
s9_t1_guard	Slaver Guard	
s9_t1_warden	Elite Slaver	
s9_masked_gun	Assailant Gunslinger	
s9_masked_gun_f	Assailant Gunslinger	
s9_masked_rifle	Assailant Longshot	
s9_masked_shotgun	Assailant Sprayer	
s9_t3_slaver_gun	Slaver Quickshooter	
s9_t3_slaver_shotgun	Slaver Sprayer	
s9_t3_slaver_gun_tough	Tough Slaver	
s9_t3_slaver_rifle	Slaver Marauder	
s9_t4_doctor	Masked Doctor	
s9_t4_warden	Warden	
s9_t4_warden_female	Warden	
s9_t4_sniper	Warden Sharpshooter	
s9_t4_assistant	Doctor's Assistant	
s9_t5_masked_doctor	Masked Emissary	
s9_t6_harbour_gun	Home Guard Gunfighter	
s9_t6_harbour_rifle	Home Guard Rifleman	
s9_t6_harbour_shotgun	Doctor's Assistant	
s9_t6_harbour_persons	Mr. Persons	
s9_t7_soldier_gun	Deserter Gunslinger	
s9_t7_soldier_rifle	Deserter Longshot	
s9_t7_masked_gun	Home Guard Gunfighter	
s9_t7_masked_rifle	Home Guard Rifleman	
s9_t7_masked_shotgun	Home Guard Shock Trooper	
s9_t7_slaver	Slaver	
s9_t7_slaver_female	Slaver	
s9_t7_senator	Governor Duval	
s9_t7_guardian	Mr. Persons	
	Card names	
cannibal_stomach_dlc1	Cannibal Stomach	
bulls_heart_dlc1	Bull's Heart	
tail_dlc1	Human Tail	
left_lung_dlc1	Lung of Fury	
teeth_dlc1	Sasquatch Teeth	
liver_dlc1	Gambler's Liver	
heart_dlc1	Redundant Heart	
unidentified_dlc1	Unidentified Organ	
brain_dlc1	Vampire's Brain	
skin_dlc1	Tattooed Skin	
ear_dlc1	Tracker's Ear	
hand_dlc1	Hand of Fortune	
arm_dlc1	Sharpshooter's Arm	
third_eye_dlc1	Third Eye	
tumor_dlc1	Tumor	
mesmer_eye_dlc1	Mesmerizing Eye	
right_lung_dlc1	Lucky Lung	
sting_dlc1	Stinger	
chest_dlc1	Slaver's Ribcage	
eye_dlc1	Libertee's Eye	
stomach_dlc1	Marshall's Stomach	
kidney_dlc1	Bounty Hunter's Kidney	
spine_dlc1	Living Spine	
tongue_dlc1	Priest's Tongue	
blood_dlc1	Human Blood	
lymph_dlc1	Human Lymph	
	Card item names and descriptions	
cannibal_stomach_dlc1_item_name	Cannibal Stomach	
cannibal_stomach_dlc1_item_desc	Former property of a cannibal, this stomach shows signs of adaptation to a diet of human flesh.<br><br>Ability: Cannibal<br>Compatibility: ΔΘ	
bulls_heart_dlc1_item_name	Bull's Heart	
bulls_heart_dlc1_item_desc	The bovine cardio-vascular system is vastly superior to that of a human.<br><br>Ability: Vengeance<br>Compatibility: ΔΣ	
tail_dlc1_item_name	Human Tail	
tail_dlc1_item_desc	One of Dr Gorman's outlandish specimens.<br><br>Ability: Dodge<br>Compatibility: ΔΞ	
